,,,,,,,Rushing,,,,,,,,,,
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1,Saquon Barkley,27,PHI,RB,16,16,345,2005,13,82,52.5,72,5.8,125.3,21.6,2,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
2,Derrick Henry,30,BAL,RB,17,17,325,1921,16,94,58.8,87,5.9,113,19.1,3,"PB,AP-2,AP OPoY-4"
3,Kyren Williams,24,LAR,RB,16,16,316,1299,14,85,50.9,30,4.1,81.2,19.8,5,AP OPoY-11
4,Bijan Robinson,22,ATL,RB,17,17,304,1456,14,82,60.2,37,4.8,85.6,17.9,1,PB
5,Jonathan Taylor,25,IND,RB,14,13,303,1431,11,71,45.9,70,4.7,102.2,21.6,4,"PB,AP CPoY-19"
6,Josh Jacobs,26,GNB,RB,17,17,301,1329,15,73,52.2,38,4.4,78.2,17.7,4,"PB,AP OPoY-11"
7,Najee Harris,26,PIT,RB,17,17,263,1043,6,50,43.7,36,4,61.4,15.5,0,
8,Tony Pollard,27,TEN,RB,16,16,260,1079,5,53,47.7,41,4.2,67.4,16.3,2,
9,Aaron Jones,30,MIN,RB,17,17,255,1138,5,49,49.8,41,4.5,66.9,15,5,
10,D'Andre Swift,25,CHI,RB,17,17,253,959,6,43,43.9,56,3.8,56.4,14.9,2,
11,Jahmyr Gibbs,22,DET,RB,17,4,250,1412,16,70,53.6,70,5.6,83.1,14.7,1,"PB,AP OPoY-8"
12,Chuba Hubbard,25,CAR,RB,15,15,250,1195,10,62,54.8,38,4.8,79.7,16.7,4,
13,Joe Mixon,28,HOU,RB,14,14,245,1016,11,52,42.4,59,4.1,72.6,17.5,0,PB
14,James Conner,29,ARI,RB,16,16,236,1094,8,67,51.7,53,4.6,68.4,14.8,4,
15,Rico Dowdle,26,DAL,RB,16,15,235,1079,2,53,53.6,27,4.6,67.4,14.7,3,
16,Chase Brown,24,CIN,RB,16,10,229,990,7,49,52.4,40,4.3,61.9,14.3,2,
17,Alvin Kamara,29,NOR,RB,14,14,228,950,6,52,51.3,24,4.2,67.9,16.3,1,
18,Breece Hall,23,NYJ,RB,16,16,209,876,5,40,46.4,42,4.2,54.8,13.1,6,
19,James Cook,25,BUF,RB,16,16,207,1009,16,48,53.1,65,4.9,63.1,12.9,1,PB
20,Bucky Irving,22,TAM,RB,17,3,207,1122,8,52,55.1,56,5.4,66,12.2,2,AP ORoY-6
21,Rhamondre Stevenson,26,NWE,RB,15,14,207,801,7,40,50.2,33,3.9,53.4,13.8,7,
22,De'Von Achane,23,MIA,RB,17,16,203,907,6,37,49.3,61,4.5,53.4,11.9,1,
23,Kareem Hunt,29,KAN,RB,13,8,200,728,7,42,55.5,20,3.6,56,15.4,0,
24,J.K. Dobbins,26,LAC,RB,13,11,195,905,9,47,42.6,61,4.6,69.6,15,0,AP CPoY-2
25,Tyrone Tracy Jr.,25,NYG,RB,17,12,192,839,5,39,44.3,45,4.4,49.4,11.3,5,
26,Brian Robinson Jr.,25,WAS,RB,14,13,187,799,8,47,48.7,40,4.3,57.1,13.4,2,
27,David Montgomery,27,DET,RB,14,14,185,775,12,50,55.1,21,4.2,55.4,13.2,2,
28,Tank Bigsby,23,JAX,RB,16,1,168,766,7,39,49.4,65,4.6,47.9,10.5,4,
29,Jordan Mason,25,SFO,RB,12,6,153,789,3,37,47.1,38,5.2,65.8,12.8,3,
30,Kenneth Walker III,24,SEA,RB,11,11,153,573,7,28,44.4,28,3.7,52.1,13.9,1,
31,Travis Etienne,25,JAX,RB,15,15,150,558,2,31,45.3,22,3.7,37.2,10,1,
32,Jalen Hurts,26,PHI,QB,15,15,150,630,14,62,55.3,35,4.2,42,10,9,
33,Jayden Daniels,24,WAS,QB,17,17,148,891,6,55,62.8,46,6,52.4,8.7,5,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
34,Rachaad White,25,TAM,RB,16,15,144,613,3,35,50.7,56,4.3,38.3,9,3,
35,Lamar Jackson,27,BAL,QB,17,17,139,915,4,47,56.1,48,6.6,53.8,8.2,10,"PB,AP-1,AP MVP-2,AP OPoY-2"
36,Javonte Williams,24,DEN,RB,17,11,139,513,4,30,46.8,20,3.7,30.2,8.2,2,
37,Tyler Allgeier,24,ATL,RB,17,0,137,644,3,43,58.4,25,4.7,37.9,8.1,0,
38,Zach Charbonnet,23,SEA,RB,17,6,135,569,8,32,47.4,51,4.2,33.5,7.9,0,
39,Alexander Mattison,26,LVR,RB,14,7,132,420,4,25,35.6,24,3.2,30,9.4,1,
40,Antonio Gibson,26,NWE,RB,17,3,120,538,1,24,45,45,4.5,31.6,7.1,2,
41,Jaylen Warren,26,PIT,RB,15,0,120,511,1,28,50,22,4.3,34.1,8,2,
42,Ray Davis,25,BUF,RB,17,0,113,442,3,25,45.1,23,3.9,26,6.6,0,
43,Jaleel McLaughlin,24,DEN,RB,16,5,113,496,1,25,51.3,21,4.4,31,7.1,1,
44,Devin Singletary,27,NYG,RB,15,5,113,437,4,24,47.8,43,3.9,29.1,7.5,2,
45,Jerome Ford,25,CLE,RB,14,6,104,565,3,25,47.1,66,5.4,40.4,7.4,0,
46,Cam Akers,25,2TM,RB,17,2,104,444,2,21,38.5,58,4.3,26.1,6.1,1,AP CPoY-19
46,Cam Akers,25,HOU,RB,5,2,40,147,1,5,30,15,3.7,29.4,8,1,
46,Cam Akers,25,MIN,RB,12,0,64,297,1,16,43.8,58,4.6,24.8,5.3,0,
47,Emanuel Wilson,25,GNB,RB,17,0,103,502,4,27,59.2,21,4.9,29.5,6.1,0,
48,Josh Allen,28,BUF,QB,17,17,102,531,12,52,64.7,30,5.2,31.2,6,5,"PB,AP-2,AP MVP-1,AP OPoY-6"
49,Nick Chubb,29,CLE,RB,8,8,102,332,3,17,41.2,19,3.3,41.5,12.8,1,AP CPoY-8
50,Gus Edwards,29,LAC,RB,11,6,101,365,4,17,49.5,43,3.6,33.2,9.2,0,
51,Braelon Allen,20,NYJ,RB,17,2,92,334,2,22,51.1,20,3.6,19.6,5.4,0,
52,Bo Nix,24,DEN,QB,17,17,92,430,4,41,53.3,32,4.7,25.3,5.4,3,AP ORoY-3
53,Anthony Richardson,22,IND,QB,11,11,86,499,6,34,58.1,29,5.8,45.4,7.8,9,AP CPoY-25
54,Raheem Mostert,32,MIA,RB,13,1,85,278,2,13,37.6,21,3.3,21.4,6.5,2,
