Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Tampa Bay Buccaneers,16,362,1181,11,3.3,73.8,56.23
2,New York Jets,16,417,1391,12,3.3,86.9,72.34
3,Philadelphia Eagles,16,353,1442,13,4.1,90.1,41.04
4,New Orleans Saints,16,345,1461,12,4.2,91.3,33.51
5,Baltimore Ravens,16,340,1494,12,4.4,93.4,6.25
6,New England Patriots,16,365,1528,7,4.2,95.5,35.11
7,Indianapolis Colts,16,383,1567,8,4.1,97.9,21.54
8,Oakland Raiders,16,405,1570,15,3.9,98.1,17.69
9,Chicago Bears,16,414,1632,16,3.9,102,38.83
10,Buffalo Bills,16,388,1649,12,4.3,103.1,7.6
11,Dallas Cowboys,16,407,1656,14,4.1,103.5,25.11
12,Tennessee Titans,16,415,1672,14,4,104.5,35.33
13,Minnesota Vikings,16,404,1728,8,4.3,108,24.55
14,Pittsburgh Steelers,16,462,1753,7,3.8,109.6,63.09
15,Atlanta Falcons,16,421,1775,13,4.2,110.9,17.98
16,Denver Broncos,16,426,1783,9,4.2,111.4,12.72
17,San Francisco 49ers,16,401,1802,11,4.5,112.6,11.03
18,Los Angeles Chargers,16,429,1805,15,4.2,112.8,1.08
19,Los Angeles Rams,16,444,1809,15,4.1,113.1,21.49
20,New York Giants,16,469,1812,19,3.9,113.3,40.51
21,Detroit Lions,16,455,1855,13,4.1,115.9,17.32
22,Seattle Seahawks,16,388,1883,22,4.9,117.7,-12.92
23,Green Bay Packers,16,411,1921,15,4.7,120.1,-23.29
24,Arizona Cardinals,16,439,1922,9,4.4,120.1,15.13
25,Houston Texans,16,403,1937,12,4.8,121.1,-2.87
26,Kansas City Chiefs,16,416,2051,14,4.9,128.2,-40.73
27,Miami Dolphins,16,485,2166,15,4.5,135.4,-6.14
28,Jacksonville Jaguars,16,435,2229,23,5.1,139.3,-21.95
29,Carolina Panthers,16,445,2296,31,5.2,143.5,-62.69
30,Cleveland Browns,16,463,2315,19,5,144.7,-37.5
31,Washington Redskins,16,493,2339,14,4.7,146.2,-6.89
32,Cincinnati Bengals,16,504,2382,17,4.7,148.9,-12.07
