Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards
1,Derrick Henry,29,TEN,RB,17,17,280,1167,12,63,46.1,69,4.2,68.6,16.5,0,PB
2,Christian McCaffrey,27,SFO,RB,16,16,272,1459,14,83,54,72,5.4,91.2,17,3,"PB,AP-1,AP MVP-3,AP OPoY-1"
3,Rachaad White,24,TAM,RB,17,17,272,990,6,46,40.8,38,3.6,58.2,16,3,
4,Travis Etienne,24,JAX,RB,17,17,267,1008,11,53,43.1,62,3.8,59.3,15.7,0,AP OPoY-8
5,Joe Mixon,27,CIN,RB,17,17,257,1034,9,59,49.4,44,4,60.8,15.1,0,
6,Najee Harris,25,PIT,RB,17,17,255,1035,8,51,48.2,25,4.1,60.9,15,2,
7,Tony Pollard,26,DAL,RB,17,17,252,1005,6,56,50,31,4,59.1,14.8,3,
8,Saquon Barkley,26,NYG,RB,14,14,247,962,6,51,40.1,36,3.9,68.7,17.6,2,
9,Chuba Hubbard,24,CAR,RB,17,12,238,902,5,59,47.5,22,3.8,53.1,14,1,
10,James Cook,24,BUF,RB,17,13,237,1122,2,53,55.7,42,4.7,66,13.9,4,PB
11,Josh Jacobs,25,LVR,RB,13,13,233,805,6,34,45.9,63,3.5,61.9,17.9,3,
12,D'Andre Swift,24,PHI,RB,16,15,229,1049,5,50,54.1,43,4.6,65.6,14.3,3,PB
13,Kyren Williams,23,LAR,RB,12,11,228,1144,12,62,59.6,56,5,95.3,19,3,"PB,AP-2"
14,Breece Hall,22,NYJ,RB,17,16,223,994,5,40,39.5,83,4.5,58.5,13.1,2,AP CPoY-7
15,David Montgomery,26,DET,RB,14,14,219,1015,13,59,54.8,75,4.6,72.5,15.6,2,
16,Kenneth Walker III,23,SEA,RB,15,15,219,905,8,46,46.6,45,4.1,60.3,14.6,1,
17,Javonte Williams,23,DEN,RB,16,13,217,774,3,41,40.6,21,3.6,48.4,13.6,1,
18,Devin Singletary,26,HOU,RB,17,10,216,898,4,41,47.7,24,4.2,52.8,12.7,1,
19,Bijan Robinson,21,ATL,RB,17,16,214,976,4,50,43.5,38,4.6,57.4,12.6,4,AP ORoY-5
20,Raheem Mostert,31,MIA,RB,15,15,209,1012,18,59,55,49,4.8,67.5,13.9,4,PB
21,James Conner,28,ARI,RB,13,13,208,1040,7,57,49.5,44,5,80,16,0,
22,Isiah Pacheco,24,KAN,RB,14,13,205,935,7,53,50.7,48,4.6,66.8,14.6,1,
