Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1,CeeDee Lamb,24,DAL,WR,17,17,181,135,1749,13,12,80,63.5,92,7.9,102.9,74.6,9.7,3,"PB,AP-1,AP OPoY-3"
2,Tyreek Hill,29,MIA,WR,16,16,171,119,1799,15.1,13,83,57.9,78,7.4,112.4,69.6,10.5,1,"PB,AP-1,AP MVP-6,AP OPoY-2"
3,Amon-Ra St. Brown,24,DET,WR,16,16,164,119,1515,12.7,10,75,61.6,70,7.4,94.7,72.6,9.2,1,"PB,AP-1"
4,Evan Engram,29,JAX,TE,17,15,143,114,963,8.4,4,47,53.1,34,6.7,56.6,79.7,6.7,3,PB
5,Michael Pittman Jr.,26,IND,WR,16,15,156,109,1152,10.6,4,53,51.9,75,6.8,72,69.9,7.4,2,
6,Keenan Allen,31,LAC,WR,13,13,150,108,1243,11.5,7,57,58.7,42,8.3,95.6,72,8.3,2,PB
7,Stefon Diggs,30,BUF,WR,17,17,160,107,1183,11.1,8,58,55,55,6.3,69.6,66.9,7.4,2,PB
8,A.J. Brown,26,PHI,WR,17,17,158,106,1456,13.7,7,70,56.3,59,6.2,85.6,67.1,9.2,2,"PB,AP-2"
9,Puka Nacua,22,LAR,WR,17,17,160,105,1486,14.2,6,68,56.9,80,6.2,87.4,65.6,9.3,1,"PB,AP-2,AP ORoY-2"
10,Davante Adams,31,LVR,WR,17,17,175,103,1144,11.1,8,59,48.6,46,6.1,67.3,58.9,6.5,0,
11,Adam Thielen,33,CAR,WR,17,17,137,103,1014,9.8,4,56,58.4,32,6.1,59.6,75.2,7.4,2,
12,Ja'Marr Chase,23,CIN,WR,16,16,145,100,1216,12.2,7,63,56.6,76,6.3,76,69,8.4,1,PB
13,D.J. Moore,26,CHI,WR,17,17,136,96,1364,14.2,8,64,59.6,58,5.6,80.2,70.6,10,1,
14,T.J. Hockenson,26,MIN,TE,15,11,127,95,960,10.1,5,48,53.5,29,6.3,64,74.8,7.6,1,
15,Garrett Wilson,23,NYJ,WR,17,17,168,95,1042,11,3,47,44,68,5.6,61.3,56.5,6.2,2,
16,Travis Kelce,34,KAN,TE,15,15,121,93,984,10.6,5,50,62,53,6.2,65.6,76.9,8.1,1,PB
17,Chris Olave,23,NOR,WR,16,11,138,87,1123,12.9,5,57,53.6,51,5.4,70.2,63,8.1,0,
18,Sam LaPorta,22,DET,TE,17,14,120,86,889,10.3,10,48,55.8,48,5.1,52.3,71.7,7.4,0,"PB,AP-2,AP ORoY-3"
19,Chris Godwin,27,TAM,WR,17,17,130,83,1024,12.3,2,53,50,47,4.9,60.2,63.8,7.9,0,
20,Trey McBride,24,ARI,TE,17,12,106,81,825,10.2,3,42,57.5,38,4.8,48.5,76.4,7.8,1,
21,David Njoku,27,CLE,TE,16,16,123,81,882,10.9,6,35,43.9,43,5.1,55.1,65.9,7.2,2,PB
