Rk,Tm,G,Att,Yds,TD,Y/A,Y/G,EXP
1,Tennessee Titans,17,390,1307,9,3.4,76.9,32.7
2,San Francisco 49ers,17,389,1321,11,3.4,77.7,27.33
3,Baltimore Ravens,17,406,1566,11,3.9,92.1,15.07
4,Buffalo Bills,16,387,1673,10,4.3,104.6,5.47
5,Cincinnati Bengals,16,407,1706,12,4.2,106.6,-6.85
6,Miami Dolphins,17,422,1751,15,4.1,103,-1.83
7,New England Patriots,17,441,1793,7,4.1,105.5,15.97
8,Kansas City Chiefs,17,419,1823,10,4.4,107.2,-9.19
9,Pittsburgh Steelers,17,442,1838,7,4.2,108.1,13.16
10,Denver Broncos,17,438,1866,12,4.3,109.8,6.71
11,Washington Commanders,17,441,1926,10,4.4,113.3,19.8
12,Jacksonville Jaguars,17,470,1951,14,4.2,114.8,3.69
13,Los Angeles Rams,17,455,1956,12,4.3,115.1,-0.2
14,Arizona Cardinals,17,446,2016,21,4.5,118.6,-7.46
15,Tampa Bay Buccaneers,17,458,2052,12,4.5,120.7,14.19
16,New York Jets,17,492,2068,14,4.2,121.6,14.66
17,Philadelphia Eagles,17,446,2068,15,4.6,121.6,-45.67
18,Carolina Panthers,17,488,2085,17,4.3,122.6,10.22
19,Las Vegas Raiders,17,460,2087,20,4.5,122.8,-16.21
20,Minnesota Vikings,17,463,2093,18,4.5,123.1,-7.75
21,Indianapolis Colts,17,511,2109,20,4.1,124.1,6.68
22,Dallas Cowboys,17,497,2198,9,4.4,129.3,6.8
23,Atlanta Falcons,17,500,2214,15,4.4,130.2,-24.68
24,New Orleans Saints,17,492,2218,14,4.5,130.5,-16.64
25,Cleveland Browns,17,488,2295,22,4.7,135,-34.44
26,Green Bay Packers,17,479,2372,18,5,139.5,-43.83
27,New York Giants,17,469,2451,16,5.2,144.2,-55.88
28,Los Angeles Chargers,17,457,2478,17,5.4,145.8,-48.54
29,Detroit Lions,17,477,2491,22,5.2,146.5,-67.67
30,Seattle Seahawks,17,525,2554,21,4.9,150.2,-36.77
31,Chicago Bears,17,542,2674,31,4.9,157.3,-46.52
32,Houston Texans,17,573,2894,25,5.1,170.2,-32.99
