Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Fmb,Awards
1,Justin Jefferson,23,MIN,WR,17,17,184,128,1809,14.1,8,80,57.6,64,7.5,106.4,69.6,9.8,0,"PB,AP-1,AP MVP-5,AP OPoY-1"
2,Tyreek Hill,28,MIA,WR,17,17,170,119,1710,14.4,7,77,56.5,64,7,100.6,70,10.1,1,"PB,AP-1,AP MVP-9,AP OPoY-4"
3,Travis Kelce,33,KAN,TE,17,17,152,110,1338,12.2,12,78,63.2,52,6.5,78.7,72.4,8.8,1,"PB,AP-1,AP OPoY-6"
4,Stefon Diggs,29,BUF,WR,16,16,154,108,1429,13.2,11,74,64.3,53,6.8,89.3,70.1,9.3,1,"PB,AP-2"
5,Austin Ekeler,27,LAC,RB,17,17,127,107,722,6.7,5,36,48,23,6.3,42.5,84.3,5.7,5,AP OPoY-9
6,CeeDee Lamb,23,DAL,WR,17,17,156,107,1359,12.7,9,67,55.1,39,6.3,79.9,68.6,8.7,0,"PB,AP-2"
7,Amon-Ra St. Brown,23,DET,WR,16,16,146,106,1161,11,6,68,62.3,49,6.6,72.6,72.6,8,0,PB
8,Chris Godwin,26,TAM,WR,15,13,142,104,1023,9.8,3,53,60.6,44,6.9,68.2,73.2,7.2,2,AP CPoY-7
9,Davante Adams,30,LVR,WR,17,17,180,100,1516,15.2,14,65,46.1,60,5.9,89.2,55.6,8.4,1,"PB,AP-1"
10,Michael Pittman Jr.,25,IND,WR,16,16,141,99,925,9.3,4,51,53.9,28,6.2,57.8,70.2,6.6,2,
11,DeVonta Smith,24,PHI,WR,17,17,136,95,1196,12.6,7,57,54.4,45,5.6,70.4,69.9,8.8,1,
12,D.K. Metcalf,25,SEA,WR,17,17,141,90,1048,11.6,6,47,49.6,54,5.3,61.6,63.8,7.4,2,
13,A.J. Brown,25,PHI,WR,17,16,145,88,1496,17,11,59,51.7,78,5.2,88,60.7,10.3,2,"PB,AP-2,AP MVP-9,AP OPoY-11"
14,Ja'Marr Chase,22,CIN,WR,12,12,134,87,1046,12,9,58,55.2,60,7.3,87.2,64.9,7.8,2,PB
15,Diontae Johnson,26,PIT,WR,17,17,147,86,882,10.3,0,45,49,37,5.1,51.9,58.5,6,1,
16,T.J. Hockenson,25,2TM,TE,17,14,129,86,914,10.6,6,44,47.3,81,5.1,53.8,66.7,7.1,1,PB
16,T.J. Hockenson,25,DET,TE,7,7,43,26,395,15.2,3,17,48.8,81,3.7,56.4,60.5,9.2,0,
16,T.J. Hockenson,25,MIN,TE,10,7,86,60,519,8.7,3,27,46.5,21,6,51.9,69.8,6,1,
17,Christian McCaffrey,26,2TM,RB,17,16,108,85,741,8.7,5,36,52.8,49,5,43.6,78.7,6.9,1,"PB,AP OPoY-7,AP CPoY-2"
