Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,16,625,425,4697,34,8.3,2651,2207,225,32.90%,71,10.40%,61,9.80%,29,161,23.60%,101
Buffalo Bills,16,573,369,3726,23,6.9,2599,2121,230,35.80%,50,7.80%,55,9.60%,38,143,22.20%,125
Carolina Panthers,16,585,398,3825,28,7.3,2137,1866,153,24.00%,55,8.60%,59,10.10%,29,143,22.40%,121
Chicago Bears,16,547,350,3705,28,8.1,2330,1848,131,21.40%,49,8.00%,53,9.70%,35,137,22.40%,89
Cincinnati Bengals,16,541,340,3859,32,8.7,2259,1610,182,31.10%,39,6.70%,55,10.20%,17,111,19.00%,110
Cleveland Browns,16,585,371,3962,31,8.5,2839,2206,138,21.30%,69,10.60%,35,6.00%,38,142,21.90%,96
Indianapolis Colts,16,562,369,3866,24,8.2,2678,1759,108,17.10%,70,11.10%,37,6.60%,40,147,23.30%,70
Arizona Cardinals,16,570,365,3623,26,7.7,1884,2039,257,39.40%,65,10.00%,56,9.80%,48,169,25.90%,110
Dallas Cowboys,16,513,328,3642,34,8.1,2102,1641,132,22.80%,56,9.70%,45,8.80%,31,132,22.80%,102
Denver Broncos,16,567,374,3807,21,8,2278,1811,178,27.90%,73,11.50%,52,9.20%,42,167,26.20%,94
Detroit Lions,16,557,383,4558,38,8.5,2651,2093,142,23.70%,46,7.70%,35,6.30%,24,105,17.50%,128
Green Bay Packers,16,536,346,3539,23,7.6,2241,1987,150,24.70%,49,8.10%,38,7.10%,41,128,21.10%,109
Houston Texans,16,541,377,4104,30,7.5,2115,2157,212,35.90%,46,7.80%,47,8.70%,34,127,21.50%,125
Jacksonville Jaguars,16,533,370,4231,34,8.2,2176,2073,179,31.00%,41,7.10%,57,10.70%,18,116,20.10%,114
Kansas City Chiefs,16,557,349,3779,29,8,2257,2333,222,35.70%,55,8.90%,66,11.80%,32,153,24.60%,119
Miami Dolphins,16,545,343,4024,21,9,2294,2008,248,40.80%,56,9.20%,54,9.90%,41,151,24.80%,106
Minnesota Vikings,16,541,358,4141,30,9,2530,1732,159,26.90%,49,8.30%,44,8.10%,23,116,19.60%,131
New Orleans Saints,16,557,333,3472,28,9.2,2438,1699,197,31.80%,51,8.20%,67,12.00%,45,163,26.30%,82
New England Patriots,16,494,333,3557,22,8.3,1890,1739,135,24.40%,79,14.30%,43,8.70%,24,146,26.40%,90
New York Giants,16,574,388,3807,22,7.2,2269,1856,174,26.90%,61,9.40%,64,11.10%,40,165,25.50%,97
New York Jets,16,605,418,4409,34,7.6,2483,2051,249,38.40%,57,8.80%,53,8.80%,31,141,21.70%,132
Tennessee Titans,16,630,423,4439,36,8.1,2702,2031,194,28.70%,49,7.20%,51,8.10%,19,119,17.60%,113
Philadelphia Eagles,16,530,364,3798,27,7.7,2249,1873,133,22.20%,56,9.40%,62,11.70%,49,167,27.90%,115
Pittsburgh Steelers,16,526,298,3110,22,9.2,2161,1547,244,40.30%,77,12.70%,80,15.20%,56,213,35.10%,111
Las Vegas Raiders,16,580,370,4212,28,7.7,2319,2007,147,23.50%,71,11.30%,55,9.50%,21,147,23.50%,143
Los Angeles Rams,16,548,347,3051,17,7.7,1836,1939,171,27.30%,45,7.20%,49,8.90%,53,147,23.40%,77
Baltimore Ravens,16,596,380,3536,22,7.7,2245,1943,290,44.10%,60,9.10%,77,12.90%,39,176,26.80%,134
Los Angeles Chargers,16,543,340,3578,29,8.8,2196,1517,98,16.30%,58,9.70%,58,10.70%,27,143,23.80%,109
Seattle Seahawks,16,674,450,4560,23,8,3005,1943,253,33.50%,70,9.30%,66,9.80%,46,182,24.10%,88
San Francisco 49ers,16,537,341,3327,25,7.6,1830,1662,203,33.60%,68,11.20%,39,7.30%,30,137,22.60%,68
Tampa Bay Buccaneers,16,617,426,3945,29,7.3,2940,2430,268,39.00%,73,10.60%,68,11.00%,48,189,27.50%,103
Washington Football Team,16,529,330,3068,21,8.3,2177,1546,195,32.40%,59,9.80%,50,9.50%,47,156,25.90%,120
