Tm,G,Att,Cmp,Yds,TD,DADOT,Air,YAC,Bltz,Bltz%,Hrry,Hrry%,QBKD,QBKD%,Sk,Prss,Prss%,MTkl
Atlanta Falcons,16,585,398,4153,33,8.2,2380,1934,139,21.50%,70,10.80%,30,5.10%,37,137,21.20%,112
Buffalo Bills,16,492,313,2867,22,7.2,1553,1482,128,23.40%,76,13.90%,41,8.30%,36,153,28.00%,137
Carolina Panthers,16,529,353,3847,32,8.7,2354,1695,198,33.40%,68,11.50%,25,4.70%,35,128,21.60%,104
Chicago Bears,16,615,377,3515,22,8,2142,1853,140,20.30%,93,13.50%,41,6.70%,50,184,26.70%,81
Cincinnati Bengals,16,584,389,4414,32,8.6,2428,2091,121,18.90%,75,11.70%,42,7.20%,34,151,23.60%,104
Cleveland Browns,16,626,393,4125,21,7.9,2202,1999,235,34.00%,88,12.70%,45,7.20%,37,170,24.60%,149
Indianapolis Colts,16,542,384,3805,21,7,2181,2303,106,17.50%,60,9.90%,29,5.40%,38,127,21.00%,102
Arizona Cardinals,16,506,342,3262,21,7.1,1773,1799,222,38.50%,68,11.80%,38,7.50%,49,155,26.90%,124
Dallas Cowboys,16,542,367,3755,22,8.1,2381,1980,121,19.80%,77,12.60%,50,9.20%,39,166,27.20%,112
Denver Broncos,16,549,353,3929,26,7.9,2144,2064,190,31.30%,53,8.70%,40,7.30%,44,137,22.50%,114
Detroit Lions,16,496,323,3599,29,10,2375,1426,94,16.90%,54,9.70%,28,5.60%,43,125,22.50%,83
Green Bay Packers,16,527,336,3752,30,8.6,2236,1723,175,29.30%,78,13.10%,24,4.60%,44,146,24.50%,130
Houston Texans,16,594,385,4167,28,8.2,2558,2012,168,24.90%,93,13.80%,43,7.20%,43,179,26.60%,134
Jacksonville Jaguars,16,499,312,3113,17,8,1708,1630,112,19.40%,73,12.60%,47,9.40%,37,157,27.20%,107
Kansas City Chiefs,16,632,406,4374,30,9.2,2993,2218,145,20.70%,92,13.10%,48,7.60%,52,192,27.40%,116
Miami Dolphins,16,508,335,3932,31,8.5,2006,1905,146,25.80%,79,14.00%,36,7.10%,31,146,25.80%,119
Minnesota Vikings,16,503,315,3140,15,8.4,1729,1614,143,24.60%,80,13.70%,20,4.00%,50,150,25.80%,76
New Orleans Saints,16,573,384,4302,30,8.7,2946,2055,174,26.60%,84,12.80%,45,7.90%,49,178,27.20%,87
New England Patriots,16,605,370,3943,29,9.9,2880,2075,205,30.90%,71,10.70%,53,8.80%,30,154,23.20%,73
New York Giants,16,560,362,4044,24,8.5,2397,1734,172,27.90%,72,11.70%,49,8.80%,30,151,24.50%,108
New York Jets,16,582,367,4065,29,8.6,2356,1879,202,31.40%,62,9.60%,54,9.30%,39,155,24.10%,115
Tennessee Titans,16,533,337,3471,21,8.6,2171,1507,179,29.80%,77,12.80%,31,5.80%,39,147,24.50%,100
Philadelphia Eagles,16,626,417,4308,22,8.5,2877,2231,112,16.00%,75,10.70%,65,10.40%,44,184,26.30%,102
Pittsburgh Steelers,16,566,362,3697,27,9.2,2413,1560,246,38.70%,71,11.20%,52,9.20%,52,175,27.50%,80
Oakland Raiders,16,480,299,3853,36,9.2,1951,1878,103,20.10%,54,10.50%,26,5.40%,13,93,18.10%,114
Los Angeles Rams,16,533,347,3780,31,7.9,2654,2199,127,21.10%,93,15.40%,48,9.00%,41,182,30.20%,93
Baltimore Ravens,16,577,337,3360,21,8.3,2020,1684,252,39.60%,94,14.80%,47,8.10%,43,184,28.90%,105
Los Angeles Chargers,16,548,351,3646,23,7.2,2142,2125,104,17.00%,61,10.00%,34,6.20%,38,133,21.70%,112
Seattle Seahawks,16,546,355,3842,26,7.8,2091,2098,112,18.40%,73,12.00%,57,10.40%,43,173,28.50%,98
San Francisco 49ers,16,542,344,3732,35,8.4,1984,1714,123,20.40%,95,15.70%,44,8.10%,37,176,29.10%,114
Tampa Bay Buccaneers,16,534,387,4151,34,8.2,2496,1815,141,23.90%,39,6.60%,42,7.90%,38,119,20.20%,99
Washington Redskins,16,537,362,3794,27,6.8,1797,2087,174,28.50%,69,11.30%,33,6.10%,46,148,24.20%,106
